MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
11/12/2025 15:50:46,1.17.2,PR1,13,3.90,nan,1,Right,Left,0,1,0,0,nan,nan,0.16
11/12/2025 15:58:34,1.17.2,PR1,13,3.91,nan,1,Left,Left,1,1,0,0,nan,nan,0.07
11/12/2025 15:58:41,1.17.2,PR1,13,3.90,2,1,Pellet,Left,1,1,1,1,4.90,nan,nan
11/12/2025 16:04:09,1.17.2,PR1,13,3.90,nan,2,Right,Left,1,2,1,1,nan,nan,0.15
11/12/2025 16:11:44,1.17.2,PR1,13,3.90,nan,2,Right,Left,1,3,1,1,nan,nan,0.06
11/12/2025 16:14:05,1.17.2,PR1,13,3.91,nan,2,Left,Left,2,3,1,1,nan,nan,0.17
11/12/2025 16:14:06,1.17.2,PR1,13,3.90,nan,2,Left,Left,3,3,1,1,nan,nan,0.33
11/12/2025 16:14:09,1.17.2,PR1,13,3.90,1,2,Pellet,Left,3,3,2,2,1.37,928,nan
11/12/2025 16:16:24,1.17.2,PR1,13,3.90,nan,3,Right,Left,3,4,2,2,nan,nan,0.06
11/12/2025 16:16:26,1.17.2,PR1,13,3.90,nan,3,Right,Left,3,5,2,2,nan,nan,0.17
11/12/2025 16:16:42,1.17.2,PR1,13,3.90,nan,3,Left,Left,4,5,2,2,nan,nan,0.10
11/12/2025 16:16:44,1.17.2,PR1,13,3.90,nan,3,Left,Left,5,5,2,2,nan,nan,0.25
11/12/2025 16:16:48,1.17.2,PR1,13,3.90,nan,3,Right,Left,5,6,2,2,nan,nan,0.04
11/12/2025 16:16:57,1.17.2,PR1,13,3.90,nan,3,Left,Left,6,6,2,2,nan,nan,0.06
11/12/2025 16:16:59,1.17.2,PR1,13,3.91,1,3,Pellet,Left,6,6,3,3,0.53,169,nan
11/12/2025 17:19:12,1.17.2,PR1,13,3.89,nan,1,Right,Left,6,7,3,0,nan,nan,0.09
11/12/2025 17:19:16,1.17.2,PR1,13,3.89,nan,1,Right,Left,6,8,3,0,nan,nan,0.35
11/12/2025 17:19:19,1.17.2,PR1,13,3.89,nan,1,Right,Left,6,9,3,0,nan,nan,0.06
11/12/2025 17:25:11,1.17.2,PR1,13,3.90,nan,1,Left,Left,7,9,3,0,nan,nan,0.15
11/12/2025 17:25:13,1.17.2,PR1,13,3.89,1,1,Pellet,Left,7,9,4,1,0.89,4095,nan
11/12/2025 17:25:42,1.17.2,PR1,13,3.89,nan,2,Left,Left,8,9,4,1,nan,nan,0.62
11/12/2025 17:25:44,1.17.2,PR1,13,3.89,nan,2,Left,Left,9,9,4,1,nan,nan,0.24
11/12/2025 17:25:45,1.17.2,PR1,13,3.90,1,2,Pellet,Left,9,9,5,2,0.29,32,nan
11/12/2025 17:26:00,1.17.2,PR1,13,3.90,nan,3,Left,Left,10,9,5,2,nan,nan,0.14
11/12/2025 17:26:06,1.17.2,PR1,13,3.89,nan,3,Left,Left,11,9,5,2,nan,nan,0.11
11/12/2025 17:26:11,1.17.2,PR1,13,3.89,nan,3,Left,Left,12,9,5,2,nan,nan,0.11
11/12/2025 17:26:12,1.17.2,PR1,13,3.89,1,3,Pellet,Left,12,9,6,3,0.41,27,nan
11/12/2025 18:04:50,1.17.2,PR1,13,3.89,nan,1,Right,Left,12,10,6,0,nan,nan,0.39
11/12/2025 18:04:51,1.17.2,PR1,13,3.89,nan,1,Right,Left,12,11,6,0,nan,nan,0.12
11/12/2025 18:04:53,1.17.2,PR1,13,3.89,nan,1,Right,Left,12,12,6,0,nan,nan,0.34
11/12/2025 18:04:55,1.17.2,PR1,13,3.90,nan,1,Right,Left,12,13,6,0,nan,nan,0.69
11/12/2025 18:04:57,1.17.2,PR1,13,3.89,nan,1,Right,Left,12,14,6,0,nan,nan,0.34
11/12/2025 18:07:37,1.17.2,PR1,13,3.90,nan,1,Left,Left,13,14,6,0,nan,nan,0.18
11/12/2025 18:07:39,1.17.2,PR1,13,3.90,1,1,Pellet,Left,13,14,7,1,0.59,2486,nan
11/12/2025 18:07:51,1.17.2,PR1,13,3.90,nan,2,Left,Left,14,14,7,1,nan,nan,0.10
11/12/2025 18:07:53,1.17.2,PR1,13,3.90,nan,2,Left,Left,15,14,7,1,nan,nan,0.11
11/12/2025 18:07:55,1.17.2,PR1,13,3.89,1,2,Pellet,Left,15,14,8,2,0.29,16,nan
11/12/2025 18:23:20,1.17.2,PR1,13,3.89,nan,3,Left,Left,16,14,8,2,nan,nan,0.45
11/12/2025 18:23:22,1.17.2,PR1,13,3.90,nan,3,Left,Left,17,14,8,2,nan,nan,0.47
11/12/2025 18:23:23,1.17.2,PR1,13,3.89,nan,3,Left,Left,18,14,8,2,nan,nan,0.30
11/12/2025 18:23:25,1.17.2,PR1,13,3.89,1,3,Pellet,Left,18,14,9,3,0.59,931,nan
11/12/2025 18:24:46,1.17.2,PR1,13,3.90,nan,4,Right,Left,18,15,9,3,nan,nan,0.19
11/12/2025 18:26:56,1.17.2,PR1,13,3.89,nan,4,Right,Left,18,16,9,3,nan,nan,0.16
11/12/2025 18:28:00,1.17.2,PR1,13,3.89,nan,4,Left,Left,19,16,9,3,nan,nan,0.07
11/12/2025 18:43:12,1.17.2,PR1,13,3.89,nan,4,Left,Left,20,16,9,3,nan,nan,0.24
11/12/2025 18:43:14,1.17.2,PR1,13,3.89,nan,4,Left,Left,21,16,9,3,nan,nan,0.26
11/12/2025 18:45:41,1.17.2,PR1,13,3.89,nan,4,Right,Left,21,17,9,3,nan,nan,0.19
11/12/2025 18:46:32,1.17.2,PR1,13,3.89,nan,4,Right,Left,21,18,9,3,nan,nan,0.23
11/12/2025 18:46:34,1.17.2,PR1,13,3.89,nan,4,Right,Left,21,19,9,3,nan,nan,0.26
11/12/2025 18:46:42,1.17.2,PR1,13,3.89,nan,4,Right,Left,21,20,9,3,nan,nan,0.10
11/12/2025 18:46:58,1.17.2,PR1,13,3.89,nan,4,Right,Left,21,21,9,3,nan,nan,0.10
11/12/2025 18:54:16,1.17.2,PR1,13,3.90,nan,4,Left,Left,22,21,9,3,nan,nan,0.18
11/12/2025 18:54:17,1.17.2,PR1,13,3.90,2,4,Pellet,Left,22,21,10,4,0.29,1852,nan
11/12/2025 18:54:26,1.17.2,PR1,13,3.89,nan,5,Left,Left,23,21,10,4,nan,nan,0.07
11/12/2025 18:54:30,1.17.2,PR1,13,3.89,nan,5,Left,Left,24,21,10,4,nan,nan,0.13
11/12/2025 18:54:33,1.17.2,PR1,13,3.90,nan,5,Left,Left,25,21,10,4,nan,nan,0.27
11/12/2025 18:54:35,1.17.2,PR1,13,3.89,nan,5,Left,Left,26,21,10,4,nan,nan,0.13
11/12/2025 18:54:36,1.17.2,PR1,13,3.90,nan,5,Left,Left,27,21,10,4,nan,nan,0.08
11/12/2025 18:54:37,1.17.2,PR1,13,3.90,1,5,Pellet,Left,27,21,11,5,0.41,20,nan
11/12/2025 18:54:46,1.17.2,PR1,13,3.89,nan,6,Left,Left,28,21,11,5,nan,nan,0.07
11/12/2025 18:54:49,1.17.2,PR1,13,3.89,nan,6,Left,Left,29,21,11,5,nan,nan,0.03
11/12/2025 18:55:10,1.17.2,PR1,13,3.90,nan,6,Right,Left,29,22,11,5,nan,nan,0.08
11/12/2025 18:58:08,1.17.2,PR1,13,3.89,nan,6,Right,Left,29,23,11,5,nan,nan,0.05
11/12/2025 19:02:44,1.17.2,PR1,13,3.89,nan,6,Left,Left,30,23,11,5,nan,nan,0.01
11/12/2025 19:04:08,1.17.2,PR1,13,3.89,nan,6,Right,Left,30,24,11,5,nan,nan,0.09
11/12/2025 19:04:10,1.17.2,PR1,13,3.89,nan,6,Right,Left,30,25,11,5,nan,nan,0.13
11/12/2025 19:04:11,1.17.2,PR1,13,3.89,nan,6,Right,Left,30,26,11,5,nan,nan,0.44
11/12/2025 19:04:13,1.17.2,PR1,13,3.89,nan,6,Right,Left,30,27,11,5,nan,nan,0.27
11/12/2025 19:09:44,1.17.2,PR1,13,3.89,nan,6,Right,Left,30,28,11,5,nan,nan,0.10
11/12/2025 19:11:20,1.17.2,PR1,13,3.89,nan,6,Right,Left,30,29,11,5,nan,nan,0.10
11/12/2025 19:11:27,1.17.2,PR1,13,3.89,nan,6,Right,Left,30,30,11,5,nan,nan,0.04
11/12/2025 19:11:28,1.17.2,PR1,13,3.89,nan,6,Right,Left,30,31,11,5,nan,nan,0.08
11/12/2025 19:11:29,1.17.2,PR1,13,3.90,nan,6,Right,Left,30,32,11,5,nan,nan,0.14
11/12/2025 19:11:33,1.17.2,PR1,13,3.89,nan,6,Right,Left,30,33,11,5,nan,nan,0.18
11/12/2025 19:11:44,1.17.2,PR1,13,3.90,nan,6,Right,Left,30,34,11,5,nan,nan,0.19
11/12/2025 19:14:35,1.17.2,PR1,13,3.89,nan,6,Right,Left,30,35,11,5,nan,nan,0.04
11/12/2025 19:14:36,1.17.2,PR1,13,3.89,nan,6,Right,Left,30,36,11,5,nan,nan,0.09
11/12/2025 19:14:48,1.17.2,PR1,13,3.89,nan,6,Right,Left,30,37,11,5,nan,nan,0.07
11/12/2025 19:14:49,1.17.2,PR1,13,3.89,nan,6,Right,Left,30,38,11,5,nan,nan,0.09
11/12/2025 19:14:51,1.17.2,PR1,13,3.89,nan,6,Right,Left,30,39,11,5,nan,nan,0.10
11/12/2025 19:15:05,1.17.2,PR1,13,3.89,nan,6,Left,Left,31,39,11,5,nan,nan,0.13
11/12/2025 19:15:10,1.17.2,PR1,13,3.89,nan,6,Left,Left,32,39,11,5,nan,nan,0.02
11/12/2025 19:24:39,1.17.2,PR1,13,3.89,nan,6,Left,Left,33,39,11,5,nan,nan,0.04
11/12/2025 19:24:40,1.17.2,PR1,13,3.89,1,6,Pellet,Left,33,39,12,6,0.53,1803,nan
11/12/2025 19:24:48,1.17.2,PR1,13,3.89,nan,7,Left,Left,34,39,12,6,nan,nan,0.03
11/12/2025 19:24:50,1.17.2,PR1,13,3.90,nan,7,Left,Left,35,39,12,6,nan,nan,0.08
11/12/2025 19:24:55,1.17.2,PR1,13,3.89,nan,7,Left,Left,36,39,12,6,nan,nan,0.08
11/12/2025 19:24:56,1.17.2,PR1,13,3.89,nan,7,Left,Left,37,39,12,6,nan,nan,0.09
11/12/2025 19:27:16,1.17.2,PR1,13,3.89,nan,7,Left,Left,38,39,12,6,nan,nan,0.01
11/12/2025 19:27:17,1.17.2,PR1,13,3.89,nan,7,Left,Left,39,39,12,6,nan,nan,0.10
11/12/2025 19:27:18,1.17.2,PR1,13,3.89,nan,7,Left,Left,40,39,12,6,nan,nan,0.09
11/12/2025 19:27:20,1.17.2,PR1,13,3.89,1,7,Pellet,Left,40,39,13,7,0.71,160,nan
11/12/2025 19:27:26,1.17.2,PR1,13,3.89,nan,8,Left,Left,41,39,13,7,nan,nan,0.06
11/12/2025 19:27:27,1.17.2,PR1,13,3.89,nan,8,Left,Left,42,39,13,7,nan,nan,0.09
11/12/2025 19:27:29,1.17.2,PR1,13,3.89,nan,8,Left,Left,43,39,13,7,nan,nan,0.08
11/12/2025 19:27:32,1.17.2,PR1,13,3.89,nan,8,Left,Left,44,39,13,7,nan,nan,0.08
11/12/2025 19:28:40,1.17.2,PR1,13,3.89,nan,8,Left,Left,45,39,13,7,nan,nan,0.03
11/12/2025 19:28:42,1.17.2,PR1,13,3.89,nan,8,Left,Left,46,39,13,7,nan,nan,0.10
11/12/2025 19:28:52,1.17.2,PR1,13,3.89,nan,8,Right,Left,46,40,13,7,nan,nan,0.10
11/12/2025 19:41:59,1.17.2,PR1,13,3.89,nan,8,Left,Left,47,40,13,7,nan,nan,0.09
11/12/2025 19:48:54,1.17.2,PR1,13,3.89,nan,8,Right,Left,47,41,13,7,nan,nan,0.10
11/12/2025 19:48:55,1.17.2,PR1,13,3.90,nan,8,Right,Left,47,42,13,7,nan,nan,0.07
11/12/2025 19:51:08,1.17.2,PR1,13,3.89,nan,8,Right,Left,47,43,13,7,nan,nan,0.14
11/12/2025 19:51:09,1.17.2,PR1,13,3.89,nan,8,Right,Left,47,44,13,7,nan,nan,0.03
11/12/2025 19:51:14,1.17.2,PR1,13,3.89,nan,8,Right,Left,47,45,13,7,nan,nan,0.36
11/12/2025 19:51:16,1.17.2,PR1,13,3.89,nan,8,Right,Left,47,46,13,7,nan,nan,0.31
11/12/2025 19:51:19,1.17.2,PR1,13,3.89,nan,8,Right,Left,47,47,13,7,nan,nan,0.07
11/12/2025 19:51:24,1.17.2,PR1,13,3.89,nan,8,Right,Left,47,48,13,7,nan,nan,0.23
11/12/2025 19:51:37,1.17.2,PR1,13,3.89,nan,8,Left,Left,48,48,13,7,nan,nan,0.16
11/12/2025 19:51:40,1.17.2,PR1,13,3.89,1,8,Pellet,Left,48,48,14,8,1.85,1460,nan
11/12/2025 19:51:48,1.17.2,PR1,13,3.89,nan,9,Left,Left,49,48,14,8,nan,nan,0.04
11/12/2025 19:51:53,1.17.2,PR1,13,3.89,nan,9,Right,Left,49,49,14,8,nan,nan,0.10
11/12/2025 19:51:56,1.17.2,PR1,13,3.89,nan,9,Left,Left,50,49,14,8,nan,nan,0.06
11/12/2025 19:57:25,1.17.2,PR1,13,3.89,nan,9,Right,Left,50,50,14,8,nan,nan,0.13
11/12/2025 19:57:28,1.17.2,PR1,13,3.89,nan,9,Right,Left,50,51,14,8,nan,nan,0.23
11/12/2025 20:00:55,1.17.2,PR1,13,3.89,nan,9,Left,Left,51,51,14,8,nan,nan,0.07
11/12/2025 20:11:58,1.17.2,PR1,13,3.89,nan,9,Left,Left,52,51,14,8,nan,nan,0.05
11/12/2025 20:20:17,1.17.2,PR1,13,3.89,nan,9,Right,Left,52,52,14,8,nan,nan,0.12
11/12/2025 20:20:18,1.17.2,PR1,13,3.89,nan,9,Right,Left,52,53,14,8,nan,nan,0.23
11/12/2025 20:26:31,1.17.2,PR1,13,3.89,nan,9,Left,Left,53,53,14,8,nan,nan,0.16
11/12/2025 20:26:52,1.17.2,PR1,13,3.89,nan,9,Right,Left,53,54,14,8,nan,nan,0.19
11/12/2025 20:29:13,1.17.2,PR1,13,3.89,nan,9,Left,Left,54,54,14,8,nan,nan,0.24
11/12/2025 20:29:15,1.17.2,PR1,13,3.89,nan,9,Left,Left,55,54,14,8,nan,nan,0.09
11/12/2025 20:32:11,1.17.2,PR1,13,3.89,nan,9,Right,Left,55,55,14,8,nan,nan,0.66
11/12/2025 20:33:45,1.17.2,PR1,13,3.89,nan,9,Right,Left,55,56,14,8,nan,nan,0.02
11/12/2025 20:33:52,1.17.2,PR1,13,3.89,nan,9,Left,Left,56,56,14,8,nan,nan,0.11
11/12/2025 20:33:54,1.17.2,PR1,13,3.89,nan,9,Left,Left,57,56,14,8,nan,nan,0.06
11/12/2025 20:33:55,1.17.2,PR1,13,3.89,1,9,Pellet,Left,57,56,15,9,0.06,2534,nan
11/12/2025 20:34:01,1.17.2,PR1,13,3.89,nan,10,Left,Left,58,56,15,9,nan,nan,0.06
11/12/2025 20:34:03,1.17.2,PR1,13,3.89,nan,10,Left,Left,59,56,15,9,nan,nan,0.06
11/12/2025 20:34:03,1.17.2,PR1,13,3.89,nan,10,Left,Left,60,56,15,9,nan,nan,0.00
11/12/2025 20:34:05,1.17.2,PR1,13,3.89,nan,10,Left,Left,61,56,15,9,nan,nan,0.09
11/12/2025 20:34:07,1.17.2,PR1,13,3.89,nan,10,Left,Left,62,56,15,9,nan,nan,0.47
11/12/2025 20:34:10,1.17.2,PR1,13,3.89,nan,10,Left,Left,63,56,15,9,nan,nan,0.13
11/12/2025 20:34:12,1.17.2,PR1,13,3.89,nan,10,Left,Left,64,56,15,9,nan,nan,0.80
11/12/2025 20:34:19,1.17.2,PR1,13,3.89,nan,10,Left,Left,65,56,15,9,nan,nan,0.06
11/12/2025 20:34:21,1.17.2,PR1,13,3.89,nan,10,Left,Left,66,56,15,9,nan,nan,0.22
11/12/2025 20:34:31,1.17.2,PR1,13,3.89,nan,10,Left,Left,67,56,15,9,nan,nan,0.18
11/12/2025 20:34:33,1.17.2,PR1,13,3.89,1,10,Pellet,Left,67,56,16,10,0.35,38,nan
11/12/2025 20:34:42,1.17.2,PR1,13,3.89,nan,11,Left,Left,68,56,16,10,nan,nan,0.03
11/12/2025 20:34:44,1.17.2,PR1,13,3.89,nan,11,Left,Left,69,56,16,10,nan,nan,0.08
